country_code,region_name,iata,icao,airport,lat,lon,city_n_zh,province_n_zh,city_n_en,province_n_en
CN,Hunan,CGD,ZGCD,Changde Taohuayuan Airport,28.9189,111.64,常德市,湖南省,Changde,Hunan
CN,Hunan,CSX,ZGHA,Changsha Huanghua International Airport,28.1892,113.22,长沙市,湖南省,Changsha,Hunan
CN,Hunan,DYG,ZGDY,Zhangjiajie Hehua Airport,29.1028,110.443,张家界市,湖南省,Zhangjiajie,Hunan
CN,Hunan,HJJ,ZGCJ,Huaihua Zhijiang Airport,27.4411,109.7,怀化市,湖南省,Huaihua,Hunan
CN,Hunan,HNY,ZGHY,Hengyang Nanyue Airport,26.9053,112.628,衡阳市,湖南省,Hengyang,Hunan
CN,Hunan,LLF,ZGLG,Yongzhou Lingling Airport,26.3387,111.61,永州市,湖南省,Yongzhou,Hunan
CN,Hunan,WGN,ZGSY,Shaoyang Wugang Airport,26.802,110.642,邵阳市,湖南省,Shaoyang,Hunan
CN,Hunan Sheng,HCZ,ZGCZ,Chenzhou Beihu Airport,25.7506,112.846,郴州市,湖南省,Chenzhou,Hunan
CN,Hunan Sheng,YYA,ZGYY,Yueyang Sanhe Airport,29.314,113.278,岳阳市,湖南省,Yueyang,Hunan
CN,Jiangsu,CZX,ZSCG,Changzhou Benniu Airport,31.9197,119.779,常州市,江苏省,Changzhou,Jiangsu
CN,Jiangsu,HIA,ZSSH,Huai'an Lianshui Airport,33.7908,119.125,淮安市,江苏省,Huaian,Jiangsu
CN,Jiangsu,LYG,ZSLG,Lianyungang Baitabu Airport,34.5717,118.874,连云港市,江苏省,Lianyungang,Jiangsu
CN,Jiangsu,NKG,ZSNJ,Nanjing Lukou International Airport,31.742,118.862,南京市,江苏省,Nanjing,Jiangsu
CN,Jiangsu,NTG,ZSNT,Nantong Xingdong Airport,32.0708,120.976,南通市,江苏省,Nantong,Jiangsu
CN,Jiangsu,RUG,ZSRG,Rugao Air Base,32.2579,120.502,南通市,江苏省,Nantong,Jiangsu
CN,Jiangsu,SZV,ZSSZ,Suzhou Guangfu Airport,31.2631,120.401,苏州市,江苏省,Suzhou,Jiangsu
CN,Jiangsu,WUX,ZSWX,Sunan Shuofang International Airport,31.4944,120.429,无锡市,江苏省,Wuxi,Jiangsu
CN,Jiangsu,XUZ,ZSXZ,Xuzhou Guanyin Airport,34.0591,117.555,徐州市,江苏省,Xuzhou,Jiangsu
CN,Jiangsu,YNZ,ZSYN,Yancheng Nanyang International Airport,33.4258,120.203,盐城市,江苏省,Yancheng,Jiangsu
CN,Jiangsu,YTY,ZSYA,Yangzhou Taizhou Airport,32.5602,119.717,扬州市,江苏省,Yangzhou,Jiangsu
CN,Jiangxi,JDZ,ZSJD,Jingdezhen Luojia Airport,29.3386,117.176,景德镇市,江西省,Jingdezhen,Jiangxi
CN,Jiangxi,JGS,ZSJA,Jinggangshan Airport,26.8569,114.737,吉安市,江西省,Jian,Jiangxi
CN,Jiangxi,JIU,ZSJJ,Jiujiang Lushan Airport,29.4769,115.801,九江市,江西省,Jiujiang,Jiangxi
CN,Jiangxi,KHN,ZSCN,Nanchang Changbei International Airport,28.865,115.9,南昌市,江西省,Nanchang,Jiangxi
CN,Jiangxi,KOW,ZSGZ,Ganzhou Huangjin Airport,25.8533,114.779,赣州市,江西省,Ganzhou,Jiangxi
CN,Jiangxi,SQD,ZSSR,Shangrao Sanqingshan Airport,28.3797,117.964,上饶市,江西省,Shangrao,Jiangxi
CN,Jiangxi,YIC,ZSYC,Yichun Mingyueshan Airport,27.8025,114.306,宜春市,江西省,Yichun,Jiangxi
CN,Jilin,CGQ,ZYCC,Changchun Longjia International Airport,43.9962,125.685,长春市,吉林省,Changchun,Jilin
CN,Jilin,DBC,ZYBA,Baicheng Chang'an Airport,45.5053,123.02,白城市,吉林省,Baicheng,Jilin
CN,Jilin,JIL,ZYJL,Jilin Ertaizi Airport,44.0022,126.396,吉林市,吉林省,Jilin,Jilin
CN,Jilin,NBS,ZYBS,Changbaishan Airport,42.0669,127.602,白山市,吉林省,Baishan,Jilin
CN,Jilin,TNH,ZYTN,Tonghua Sanyuanpu Airport,42.2539,125.703,通化市,吉林省,Tonghua,Jilin
CN,Jilin,YNJ,ZYYJ,Yanji Chaoyangchuan Airport,42.8828,129.451,延边朝鲜族自治州,吉林省,Yanbianchaoxianzu,Jilin
CN,Jilin,YSQ,ZYSQ,Songyuan Chaganhu Airport,44.9381,124.55,松原市,吉林省,Songyuan,Jilin
CN,Liaoning,AOG,ZYAS,Anshan Teng'ao Airport,41.1053,122.854,鞍山市,辽宁省,Anshan,Liaoning
CN,Liaoning,CHG,ZYCY,Chaoyang Airport,41.5381,120.435,朝阳市,辽宁省,Chaoyang,Liaoning
CN,Liaoning,CNI,ZYCH,Changhai Airport,39.2667,122.667,大连市,辽宁省,Dalian,Liaoning
CN,Liaoning,DDG,ZYDD,Dandong Langtou Airport,40.0247,124.286,丹东市,辽宁省,Dandong,Liaoning
CN,Liaoning,DLC,ZYTL,Dalian Zhoushuizi International Airport,38.9657,121.539,大连市,辽宁省,Dalian,Liaoning
CN,Liaoning,JNZ,ZYJZ,Jinzhou Bay Airport,41.1014,121.062,锦州市,辽宁省,Jinzhou,Liaoning
CN,Liaoning,SHE,ZYTX,Shenyang Taoxian International Airport,41.6398,123.483,沈阳市,辽宁省,Shenyang,Liaoning
CN,Liaoning,XEN,ZYXC,Xingcheng Airport,40.5803,120.698,葫芦岛市,辽宁省,Huludao,Liaoning
CN,Liaoning,YKH,ZYYK,Yingkou Lanqi Airport,40.5425,122.359,营口市,辽宁省,Yingkou,Liaoning
CN,Nei Mongol,AEQ,,Ar Horqin Airport,43.8704,120.16,赤峰市,内蒙古自治区,Chifeng,Neimenggu
CN,Nei Mongol,AXF,,Alxa Left Banner Bayanhot Airport,38.7483,105.589,阿拉善盟,内蒙古自治区,Alashan,Neimenggu
CN,Nei Mongol,BAV,ZBOW,Baotou Airport,40.56,109.997,包头市,内蒙古自治区,Baotou,Neimenggu
CN,Nei Mongol,CIF,ZBCF,Chifeng Yulong Airport,42.235,118.908,赤峰市,内蒙古自治区,Chifeng,Neimenggu
CN,Nei Mongol,DSN,ZBDS,Ordos Ejin Horo Airport,39.49,109.861,鄂尔多斯市,内蒙古自治区,Eerduosi,Neimenggu
CN,Nei Mongol,EJN,,Ejin Banner Taolai Airport,42.0155,101.001,阿拉善盟,内蒙古自治区,Alashan,Neimenggu
CN,Nei Mongol,ERL,ZBER,Erenhot Saiwusu International Airport,43.4225,112.097,锡林郭勒盟,内蒙古自治区,Xilinguole,Neimenggu
CN,Nei Mongol,HET,ZBHH,Hohhot Baita International Airport,40.8514,111.824,呼和浩特市,内蒙古自治区,Huhehaote,Neimenggu
CN,Nei Mongol,HLD,ZBLA,Hulunbuir Hailar Airport,49.205,119.825,呼伦贝尔市,内蒙古自治区,Hulunbeier,Neimenggu
CN,Nei Mongol,HLH,ZBUL,Ulanhot Airport,46.1953,122.008,兴安盟,内蒙古自治区,Xingan,Neimenggu
CN,Nei Mongol,HUO,ZBHZ,Holingol Huolinhe Airport,45.4872,119.407,通辽市,内蒙古自治区,Tongliao,Neimenggu
CN,Nei Mongol,NZH,ZBMZ,Manzhouli Xijiao Airport,49.5667,117.33,呼伦贝尔市,内蒙古自治区,Hulunbeier,Neimenggu
CN,Nei Mongol,NZL,,Zhalantun Chengjisihan Airport,47.8658,122.768,呼伦贝尔市,内蒙古自治区,Hulunbeier,Neimenggu
CN,Nei Mongol,RHT,,Alxa Right Banner Badanjilin Airport,39.225,101.546,阿拉善盟,内蒙古自治区,Alashan,Neimenggu
CN,Nei Mongol,RLK,ZBYZ,Bayannur Tianjitai Airport,40.926,107.743,巴彦淖尔市,内蒙古自治区,Bayannaoer,Neimenggu
