country_code,region_name,iata,icao,airport,lat,lon,地名,区划码,地级,地级码,地级类,省级,省级码,省级类,NAME_1,TYPE_1
CN,Liaoning,XEN,ZYXC,Xingcheng Airport,40.5803,120.698,葫芦岛市,211400,葫芦岛市,211400,地级市,辽宁省,210000,省,Liaoning,Province
CN,Liaoning,YKH,ZYYK,Yingkou Lanqi Airport,40.5425,122.359,营口市,210800,营口市,210800,地级市,辽宁省,210000,省,Liaoning,Province
CN,Nei Mongol,AEQ,,Ar Horqin Airport,43.8704,120.16,赤峰市,150400,赤峰市,150400,地级市,内蒙古自治区,150000,自治区,Neimenggu,Autonomous Region
CN,Nei Mongol,AXF,,Alxa Left Banner Bayanhot Airport,38.7483,105.589,阿拉善盟,152900,阿拉善盟,152900,盟,内蒙古自治区,150000,自治区,Neimenggu,Autonomous Region
CN,Nei Mongol,BAV,ZBOW,Baotou Airport,40.56,109.997,包头市,150200,包头市,150200,地级市,内蒙古自治区,150000,自治区,Neimenggu,Autonomous Region
CN,Nei Mongol,CIF,ZBCF,Chifeng Yulong Airport,42.235,118.908,赤峰市,150400,赤峰市,150400,地级市,内蒙古自治区,150000,自治区,Neimenggu,Autonomous Region
CN,Nei Mongol,DSN,ZBDS,Ordos Ejin Horo Airport,39.49,109.861,鄂尔多斯市,150600,鄂尔多斯市,150600,地级市,内蒙古自治区,150000,自治区,Neimenggu,Autonomous Region
CN,Nei Mongol,EJN,,Ejin Banner Taolai Airport,42.0155,101.001,阿拉善盟,152900,阿拉善盟,152900,盟,内蒙古自治区,150000,自治区,Neimenggu,Autonomous Region
CN,Nei Mongol,ERL,ZBER,Erenhot Saiwusu International Airport,43.4225,112.097,锡林郭勒盟,152500,锡林郭勒盟,152500,盟,内蒙古自治区,150000,自治区,Neimenggu,Autonomous Region
CN,Nei Mongol,HET,ZBHH,Hohhot Baita International Airport,40.8514,111.824,呼和浩特市,150100,呼和浩特市,150100,地级市,内蒙古自治区,150000,自治区,Neimenggu,Autonomous Region
CN,Nei Mongol,HLD,ZBLA,Hulunbuir Hailar Airport,49.205,119.825,呼伦贝尔市,150700,呼伦贝尔市,150700,地级市,内蒙古自治区,150000,自治区,Neimenggu,Autonomous Region
CN,Nei Mongol,HLH,ZBUL,Ulanhot Airport,46.1953,122.008,兴安盟,152200,兴安盟,152200,盟,内蒙古自治区,150000,自治区,Neimenggu,Autonomous Region
